Unnamed: 0,target,generated_val
336,"Fix bug in docker image tf/tf:latest-gpu-py3
This is a bug fix in latest tf-gpu image, in which tensorflow cannot be load.

Altho this may be fixed later, I think it matters to commit a hot fix and btw, update some documentation.",# Fix tensorflow:latest-gpu-py3 image
337,"#184 - Added description of the Borg pattern.
Explanation of the Borg pattern.",# Added Borg pattern description
338,"Fix api and None provider
",# Add API testing
339,"Add CodeCarbon Integration
# What does this PR do?

This PR adds `codecarbon` for carbon footprint tracking. This is also useful for BigScience.

## Before submitting
- [ ] This PR fixes a typo or improves the docs (you can dismiss the other checks if that's the case).
- [x] Did you read the [contributor guideline](https://github.com/huggingface/transformers/blob/master/CONTRIBUTING.md#start-contributing-pull-requests),
      Pull Request section?
- [ ] Was this discussed/approved via a Github issue or the [forum](https://discuss.huggingface.co/)? Please add a link
      to it if that's the case.
- [ ] Did you make sure to update the documentation with your changes? Here are the
      [documentation guidelines](https://github.com/huggingface/transformers/tree/master/docs), and
      [here are tips on formatting docstrings](https://github.com/huggingface/transformers/tree/master/docs#writing-source-documentation).
- [ ] Did you write any new necessary tests?


## Who can review?

Anyone in the community is free to review the PR once the tests have passed. Feel free to tag
members/contributors who may be interested in your PR.

<!-- Your PR will be replied to more quickly if you can figure out the right person to tag with @

 If you know how to use git blame, that is the easiest way, otherwise, here is a rough guide of **who to tag**.
 Please tag fewer than 3 people.

Models:

- albert, bert, xlm: @LysandreJik
- blenderbot, bart, marian, pegasus, encoderdecoder,  t5: @patrickvonplaten, @patil-suraj
- longformer, reformer, transfoxl, xlnet: @patrickvonplaten
- fsmt: @stas00
- funnel: @sgugger
- gpt2: @patrickvonplaten, @LysandreJik
- rag: @patrickvonplaten, @lhoestq
- tensorflow: @LysandreJik

Library:

- benchmarks: @patrickvonplaten
- deepspeed: @stas00
- ray/raytune: @richardliaw, @amogkam
- text generation: @patrickvonplaten
- tokenizers: @n1t0, @LysandreJik
- trainer: @sgugger
- pipelines: @LysandreJik

Documentation: @sgugger

HF projects:

- datasets: [different repo](https://github.com/huggingface/datasets)
- rust tokenizers: [different repo](https://github.com/huggingface/tokenizers)

Examples:

- maintained examples (not research project or legacy): @sgugger, @patil-suraj
- research_projects/bert-loses-patience: @JetRunner
- research_projects/distillation: @VictorSanh

 -->
",# Add CodeCarbon integration
340,"Fix unfound ab_user table in the CLI session
<!--
 Licensed to the Apache Software Foundation (ASF) under one
 or more contributor license agreements.  See the NOTICE file
 distributed with this work for additional information
 regarding copyright ownership.  The ASF licenses this file
 to you under the Apache License, Version 2.0 (the
 ""License""); you may not use this file except in compliance
 with the License.  You may obtain a copy of the License at

   http://www.apache.org/licenses/LICENSE-2.0

 Unless required by applicable law or agreed to in writing,
 software distributed under the License is distributed on an
 ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
 KIND, either express or implied.  See the License for the
 specific language governing permissions and limitations
 under the License.
 -->

<!--
Thank you for contributing! Please make sure that your code changes
are covered with tests. And in case of new features or big changes
remember to adjust the documentation.

Feel free to ping committers for the review!

In case of an existing issue, reference it using one of the following:

closes: #ISSUE
related: #ISSUE

How to write a good git commit message:
http://chris.beams.io/posts/git-commit/
-->
closes: #34109

For some reason, the sqlalchemy sessions created in the CLI do not find the table `ab_user`, I tested different solutions such as providing the session to the method `task_test` using provide_session decorator, using deferrable constraint and other solutions, and they did not work, but moving the foreign key to the column fixed the issue. 


<!-- Please keep an empty line above the dashes. -->
---
**^ Add meaningful description above**
Read the **[Pull Request Guidelines](https://github.com/apache/airflow/blob/main/CONTRIBUTING.rst#pull-request-guidelines)** for more information.
In case of fundamental code changes, an Airflow Improvement Proposal ([AIP](https://cwiki.apache.org/confluence/display/AIRFLOW/Airflow+Improvement+Proposals)) is needed.
In case of a new dependency, check compliance with the [ASF 3rd Party License Policy](https://www.apache.org/legal/resolved.html#category-x).
In case of backwards incompatible changes please leave a note in a newsfragment file, named `{pr_number}.significant.rst` or `{issue_number}.significant.rst`, in [newsfragments](https://github.com/apache/airflow/tree/main/newsfragments).
",# [AIRFLOW-1111] Add foreign key constraints to user_id columns
341,"Improve error message for prepare-plug-plugin hook when certbot isn't installed
Provides a partial fix for #8182 by improving the error message.",# Add a note about removing certbot-dns-* pluginsFixes #1045.
342,"Fixed typo shuld -> should and incorrect/incomplete sentence
Fixed typo shuld -> should and incorrect/incomplete sentence

Based on the context I assumed ""the top"" was meant in this non-rule.
",# Fix typo in NR.1
343,"Fixing pre-commit is using pyyaml with broken version
This is to resolve #3803 ",# Update pyyaml to 6.0.1
344,"[examples/images/diffusion]: README.md: malformed `xformers` version
## 📌 Checklist before creating the PR

- [ ] I have created an issue for this PR for traceability
- [x] The title follows the standard format: `[doc/gemini/tensor/...]: A concise description`
- [ ] I have added relevant tags if possible for us to better distinguish different PRs



## 📝 What does this PR do?

Changed the suitable version of xformers from 0.12.0 to 0.0.12 (probably a typo).



## 💥 Checklist before requesting a review

- [ ] I have linked my PR to an issue ([instruction](https://docs.github.com/en/issues/tracking-your-work-with-issues/linking-a-pull-request-to-an-issue))
- [x] My issue clearly describes the problem/feature/proposal, with diagrams/charts/table/code if possible
- [x] I have performed a self-review of my code
- [ ] I have added thorough tests.
- [ ] I have added docstrings for all the functions/methods I implemented

## ⭐️ Do you enjoy contributing to Colossal-AI?

- [x] 🌝 Yes, I do.
- [ ] 🌚 No, I don't.

Tell us more if you don't enjoy contributing to Colossal-AI.
",# fix xformers version
345,"Fix apex install bugs
apex updated their repo to be PEP 517 compliant, but their pyproject.toml didn't completely specify all dependencies, causing build errors.  There looks to be a bit more work there with getting all dependencies handled with things like torch from the right feed for those (like us) who build the cuda_ext.

For now, this PR just forces us to use the latest commit prior to these changes in apex.",# [ci] pin apex version
346,"Bump to V26.2
## Release notes

### Bugs Fixes 
* As `reset` now returns `(obs, info)` then in the vector environments, this caused the final `step`'s info to be overwritten. Now, the final observation and info are contained within the info as ""final_observation"" and ""final_info"" @pseudo-rnd-thoughts 
* Adds warnings when trying to render without specifying the `render_mode` @younik 
* Updates Atari Preprocessing such that the wrapper can be pickled @vermouth1992 
* Github CI was hardened to such that the CI just has read permissions @sashashura 
* Clarify and fix typo in `GraphInstance` @ekalosak 
 ",# Fix serialization error
347,"community: Add missing async_astra_db_client param to AstraDBChatMessageHistory
",# Add async AstraDB client to AstraDBChatMessageHistory
348,"Add remaining DNS plugins to mypy.ini and sort entries
",# mypy: enable type checking for dns plugins
349,"`#include`d instead of `#included`
",# Fix typos
350,"Fixes the NL.26 link.
",# Fix broken link
351,"do not blindly catch all AttributeErrors
see shazow/urllib3#618
",# Fix #2155
352,"[zero] added error message to handle on-the-fly import of torch Module class
The zero init context has a precondition that the module class has to be imported before entering the context. However, sometimes this is not always so. For example:

```
with ctx:
    model = transformers.BertModel(...)
```

This example will raise exception because BertModel is only imported on the fly. This PR adds an error message for easier debugging.",# Fix the error when using `torch.nn.Module` in the context manager
353,"Streaming responses require encoding to be set
Resolves the issues called out in #3359 and #3481 when `Response.iter_content(decode_unicode=True)` would return bytes instead of unicode. This is a breaking change as it raises an exception if `Response.encoding` is not set before invoking this function.
",# Raise an exception if encoding isn't set before consuming streaming responsesFixes #2860
354,"zhanqi TV now can use old algorithm, so revert recent 2 comments
https://github.com/soimort/you-get/issues/883
https://github.com/soimort/you-get/issues/887

<!-- Reviewable:start -->

[<img src=""https://reviewable.io/review_button.png"" height=40 alt=""Review on Reviewable""/>](https://reviewable.io/reviews/soimort/you-get/894)

<!-- Reviewable:end -->
",# [zhanqi] fix rtmp url
355,"wex.nz => wex.link
https://twitter.com/WEXnz/status/1065241700237484038",# wex: update urls
356,"MRG: DOC: Simpler cross-validation iterator doc
Remove the reference to data arrays in the inline example and be more explicit to explain the difference between LOLO and `StratifiedKFold`.
",# DOC: fix examples in cross_validation module
357,"[autoparallel] adapt runtime passes
",# [AP] add shape consistency pass
358,"[applepodcast] Support new page format
## Please follow the guide below

---

### Before submitting a *pull request* make sure you have:
- [x] [Searched](https://github.com/ytdl-org/youtube-dl/search?q=is%3Apr&type=Issues) the bugtracker for similar pull requests
- [x] Read [adding new extractor tutorial](https://github.com/ytdl-org/youtube-dl#adding-support-for-a-new-site)
- [x] Read [youtube-dl coding conventions](https://github.com/ytdl-org/youtube-dl#youtube-dl-coding-conventions) and adjusted the code to meet them
- [x] Covered the code with tests (note that PRs without tests will be REJECTED)
- [x] Checked the code with [flake8](https://pypi.python.org/pypi/flake8)

### In order to be accepted and merged into youtube-dl each piece of code must be in public domain or released under [Unlicense](http://unlicense.org/). Check one of the following options:
- [x] I am the original author of this code and I am willing to release it under [Unlicense](http://unlicense.org/)
- [ ] I am not the original author of this code but it is in public domain or released under [Unlicense](http://unlicense.org/) (provide reliable evidence)

### What is the purpose of your *pull request*?
- [x] Bug fix
- [x] Improvement
- [ ] New extractor
- [ ] New feature

---

### Description of your *pull request* and other information

Pages from podcast.apple.com have begun to be served with a different structure, where the podcast metadata is found in JSON in an element with `id` `shoebox-media-api-cache-amp-podcasts` rather than `shoebox-ember-data-store`, and the JSON has a slightly different structure.

This PR adds support for the new format. On the assumption that this format will eventually be used for all podcast pages, the new format is tried first, and then the old format if that doesn't succeed. The block that handles the old format can be removed once it is determined that the old format is no longer served.

* Resolves #30216
* Resolves #30250
* Resolves #30413.
Additionally, the format information returned by the extractor comprised just the media URL, which broke a configuration with, eg, `-f bestaudio` as default.

* Resolves #29095.

Additionally, the default page image is extracted as `thumbnail`.

* Resolves #29197. ",# [applepodcasts] fix extraction
359,"XXE: OOB via FTP + remote DTD for XSLX files
better than the HTTP method, more robust approach, easier zip repackaging",# Update XXE Injection/README.md
360,"Add 2.0 release logic 
This cherry picks #9467 to this branch per the plan there in case we want to do 1.32 point releases.",# Only publish snaps for 1.x.y releases
361,"Update MSSQL Command execution
",# MSSQL Injection: Fix syntax
362,"Fix att loss
att",# fix rec_att_head
363,"Added `File:///` Vulnerability
",# Added File:///
364,"[3.10] gh-98716: Revert gh-96081: Escape lone stars in sqlite3 docs (GH-98720)
(cherry picked from commit 365852a03a0c934ccd9b6c2b8e24c71181c41f03)

Co-authored-by: Erlend E. Aasland <erlend.aasland@protonmail.com>

<!--
Thanks for your contribution!
Please read this comment in its entirety. It's quite important.

# Pull Request title

It should be in the following format:

```
gh-NNNNN: Summary of the changes made
```

Where: gh-NNNNN refers to the GitHub issue number.

Most PRs will require an issue number. Trivial changes, like fixing a typo, do not need an issue.

# Backport Pull Request title

If this is a backport PR (PR made against branches other than `main`),
please ensure that the PR title is in the following format:

```
[X.Y] <title from the original PR> (GH-NNNN)
```

Where: [X.Y] is the branch name, e.g. [3.6].

GH-NNNN refers to the PR number from `main`.

-->


<!-- gh-issue-number: gh-98716 -->
* Issue: gh-98716
<!-- /gh-issue-number -->
",# bpo-39498: Fix docstrings for sqlite3
365,"this changes files extension
password is 4121
enter the names of files or use these two wildcards
* selects all r give random files range from 1 to 5 files 

enter the extensions add a dot before any extension e.g .mp4, .mp3 you can give more than one extension and it wil arrange them according to the files. Good luck. 

email: devpoison@outlook.com",# file_ext_changer.py
366,"Typo
Inference is the folder name",# Fix typo in README.md
367,"Documentation update to increase readability
**Readability change in modules_management.rst**
<!--
 Licensed to the Apache Software Foundation (ASF) under one
 or more contributor license agreements.  See the NOTICE file
 distributed with this work for additional information
 regarding copyright ownership.  The ASF licenses this file
 to you under the Apache License, Version 2.0 (the
 ""License""); you may not use this file except in compliance
 with the License.  You may obtain a copy of the License at

   http://www.apache.org/licenses/LICENSE-2.0

 Unless required by applicable law or agreed to in writing,
 software distributed under the License is distributed on an
 ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
 KIND, either express or implied.  See the License for the
 specific language governing permissions and limitations
 under the License.
 -->

<!--
Thank you for contributing! Please make sure that your code changes
are covered with tests. And in case of new features or big changes
remember to adjust the documentation.

Feel free to ping committers for the review!

In case of an existing issue, reference it using one of the following:

closes: #ISSUE
related: #ISSUE

How to write a good git commit message:
http://chris.beams.io/posts/git-commit/
-->

---
**^ Add meaningful description above**

Read the **[Pull Request Guidelines](https://github.com/apache/airflow/blob/main/CONTRIBUTING.rst#pull-request-guidelines)** for more information.
In case of fundamental code changes, an Airflow Improvement Proposal ([AIP](https://cwiki.apache.org/confluence/display/AIRFLOW/Airflow+Improvement+Proposals)) is needed.
In case of a new dependency, check compliance with the [ASF 3rd Party License Policy](https://www.apache.org/legal/resolved.html#category-x).
In case of backwards incompatible changes please leave a note in a newsfragment file, named `{pr_number}.significant.rst` or `{issue_number}.significant.rst`, in [newsfragments](https://github.com/apache/airflow/tree/main/newsfragments).
",# Fix typo in modules_management.rst
368,"fix image replacement via clipboard paste or drag and drop on PNG Info tab
We have to wait for the ajax request after clearing the image before placing the new one

(also fixes #771)",# Fix PNG Info tab
369,"CSS: Remove forced visible overflow for Gradio group child divs
## Description

Title. This is most noticeable with the progress bar in the extras tab and in the gallery view when generating a batch of images. Removing this doesn't seem to break anything else in my tests.

## Screenshots/videos:

<details>
<summary>Before</summary>

![before](https://github.com/AUTOMATIC1111/stable-diffusion-webui/assets/122327233/acc71120-6e2a-4e97-8e41-425565573bf5)
</details>

<details>
<summary>After</summary>

![after](https://github.com/AUTOMATIC1111/stable-diffusion-webui/assets/122327233/f2dbfa57-1864-4f36-bc23-7e9232b486f2)
</details>

## Checklist:

- [x] I have read [contributing wiki page](https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki/Contributing)
- [x] I have performed a self-review of my own code
- [x] My code follows the [style guidelines](https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki/Contributing#code-style)
- [x] My code passes [tests](https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki/Tests)
",# Fix for gradio 3.39
370,"Read the signin env variables from server props
This is to ensure we always use the runtime variable instead of the build time variable.",# feat: enable email signin on signin page
371,"Support querying systemd container information
systemd writes a /run/systemd/container file in any container it starts to make it really easy to detect the container type.

This adds support for detecting systemd-nspawn containers (and any other container format that will write data there for compatibility). Otherwise we have to look for  `1:name=systemd:/system.slice/` in `/proc/1/cgroup`, which I'm not confident will be unique enough.
",# Add systemd container factsFixes #28515
372,"ref: bump sentry-arroyo to 2.12.1
Co-Authored-By: untitaker <837573+untitaker@users.noreply.github.com>
",# Bump sentry-arroyo to 2.12.1
373,"Better warning when loading a tokenizer with AutoTokenizer w/o Sneten…
…cePiece

Currently, initializing a `sentencepiece` `AutoTokenizer` without having `sentencepiece` installed results in the following error:

```
AttributeError: 'NoneType' object has no attribute 'from_pretrained'
```
This improves the error message to:
```
 This tokenizer cannot be instantiated. Please make sure you have `sentencepiece` installed in order to use this tokenizer.
```

Fix #8864",# Fix error when using AutoTokenizer with SentencePiece
374,"[chatgpt]add inference example
## 📌 Checklist before creating the PR

- [ ] I have created an issue for this PR for traceability
- [ ] The title follows the standard format: `[doc/gemini/tensor/...]: A concise description`
- [ ] I have added relevant tags if possible for us to better distinguish different PRs


## 🚨 Issue number

> Link this PR to your issue with words like fixed to automatically close the linked issue upon merge
>
> e.g. `fixed #1234`, `closed #1234`, `resolved #1234`
fixed #2870 #2915 #


## 📝 What does this PR do?

> Summarize your work here.
> if you have any plots/diagrams/screenshots/tables, please attach them here.
Add a demo of inference in Chatgpt/examples

## 💥 Checklist before requesting a review

- [ ] I have linked my PR to an issue ([instruction](https://docs.github.com/en/issues/tracking-your-work-with-issues/linking-a-pull-request-to-an-issue))
- [ ] My issue clearly describes the problem/feature/proposal, with diagrams/charts/table/code if possible
- [ ] I have performed a self-review of my code
- [ ] I have added thorough tests.
- [ ] I have added docstrings for all the functions/methods I implemented

## ⭐️ Do you enjoy contributing to Colossal-AI?

- [ ] 🌝 Yes, I do.
- [ ] 🌚 No, I don't.

Tell us more if you don't enjoy contributing to Colossal-AI.
",# add inference example
375,"CI Adds environment to upload_anaconda
<!--
Thanks for contributing a pull request! Please ensure you have taken a look at
the contribution guidelines: https://github.com/scikit-learn/scikit-learn/blob/main/CONTRIBUTING.md
-->

#### Reference Issues/PRs
<!--
Example: Fixes #1234. See also #3456.
Please use keywords (e.g., Fixes) to create link to the issues or pull requests
you resolved, so that they will automatically be closed when your pull request
is merged. See https://github.com/blog/1506-closing-issues-via-pull-requests
-->
Related to https://github.com/scikit-learn/scikit-learn/issues/24491#issuecomment-1935876029


#### What does this implement/fix? Explain your changes.
I added a new `upload_anaconda` environment to the repo: https://github.com/scikit-learn/scikit-learn/settings/environments with the tokens for uploading to anaconda.

With environments, the only GitHub jobs marked with `environment: upload_anaconda` can have access to the secrets.

CC @lesteve 

<!--
Please be aware that we are a loose team of volunteers so patience is
necessary; assistance handling other issues is very welcome. We value
all user contributions, no matter how minor they are. If we are slow to
review, either the pull request needs some benchmarking, tinkering,
convincing, etc. or more likely the reviewers are simply busy. In either
case, we ask for your understanding during the review process.
For more information, see our FAQ on this topic:
http://scikit-learn.org/dev/faq.html#why-is-my-pull-request-not-getting-any-attention.

Thanks for contributing!
-->
",# Set environment for Anaconda upload
376,"bpo-39947: Use _PyInterpreterState_GET_UNSAFE()
Replace _PyInterpreterState_Get() function call with
_PyInterpreterState_GET_UNSAFE() macro which is more efficient but
don't check if tstate or interp is NULL.

_Py_GetConfigsAsDict() now uses _PyThreadState_GET().

<!--
Thanks for your contribution!
Please read this comment in its entirety. It's quite important.

# Pull Request title

It should be in the following format:

```
bpo-NNNN: Summary of the changes made
```

Where: bpo-NNNN refers to the issue number in the https://bugs.python.org.

Most PRs will require an issue number. Trivial changes, like fixing a typo, do not need an issue.

# Backport Pull Request title

If this is a backport PR (PR made against branches other than `master`),
please ensure that the PR title is in the following format:

```
[X.Y] <title from the original PR> (GH-NNNN)
```

Where: [X.Y] is the branch name, e.g. [3.6].

GH-NNNN refers to the PR number from `master`.

-->


<!-- issue-number: [bpo-39947](https://bugs.python.org/issue39947) -->
https://bugs.python.org/issue39947
<!-- /issue-number -->
",# bpo-41498: Use _PyInterpreterState_GET_UNSAFE() in Python code
377,"Test that the readme renders in CI.
Resolves #4030.",# Add a test for the README
378,"Fix some unescaped shell colors
### Changes
* Uses printf rather than echo to escape shell colors.

### Examples

Before:
![image](https://user-images.githubusercontent.com/26678747/105424891-38634d80-5c16-11eb-806e-c8a9c640566e.png)

After:
![image](https://user-images.githubusercontent.com/26678747/105425338-2e8e1a00-5c17-11eb-94c4-6d6422353c65.png)

### Notes

I couldn't find any more cases of this mistake:
```console
$ egrep -rnw . --exclude-dir=venv -e ""echo.*033.*""
./tests/results/8:695:        echo ""\033[0;31mstealth:\033[0m selection length is longer than $STEALTH_MAX_SELECTION_LENGTH words; ignoring""
./share/cht.sh.txt:695:        echo ""\033[0;31mstealth:\033[0m selection length is longer than $STEALTH_MAX_SELECTION_LENGTH words; ignoring""
```
",# Fix stealth test
379,"Fixed #4764
### Fixed the issue #4764

I added a check condition `x==y` and if this condition becomes 
true then `return`.


* [ ] Add an algorithm?
* [X] Fix a bug or typo in an existing algorithm?
* [ ] Documentation change?

### **Checklist:**
* [X] I have read [CONTRIBUTING.md](https://github.com/TheAlgorithms/Python/blob/master/CONTRIBUTING.md).
* [X] This pull request is all my own work -- I have not plagiarized.
* [X] I know that pull requests will not be merged if they fail the automated tests.
* [X] This PR only changes one algorithm file.  To ease review, please open separate PRs for separate algorithms.
* [X] All new Python files are placed inside an existing directory.
* [X] All filenames are in all lowercase characters with no spaces or dashes.
* [X] All functions and variable names follow Python naming conventions.
* [X] All function parameters and return values are annotated with Python [type hints](https://docs.python.org/3/library/typing.html).
* [X] All functions have [doctests](https://docs.python.org/3/library/doctest.html) that pass the automated testing.
* [X] All new algorithms have a URL in its comments that points to Wikipedia or other similar explanation.
* [X] If this pull request resolves one or more open issues then the commit message contains `Fixes: #{$ISSUE_NO}`.
",# Fix union_set function
380,"[ci] `nv-transformers-v100` - use the same torch version as transformers CI
At HF Transformers we are trying to figure out how to get less breakages on deepspeed transformers CI job.

So one proposal is to sync the pytorch versions, which is what this PR is proposing. 

This change will always use the latest official pytorch version for `nv-transformers-v100`

@jeffra ",# [ci] use the same pytorch version as transformers CI
381,"Pass plugin errors back out to the user.
Closes: #971
",# Add a `problem` property to the Disco pluginFixes #1115
382,"Remove obsolete requirements from prepare_http_tests
##### SUMMARY

Remove obsolete requirements from prepare_http_tests.

##### ISSUE TYPE

Test Pull Request
",# Remove decorator and importlib from kerberos test
383,"Update llama2-chat-format.json
added the missing comma

## Checklist:

- [ ] I have read the [Contributing guidelines](https://github.com/oobabooga/text-generation-webui/wiki/Contributing-guidelines).
",# fix llama2 chat format
384,"Update pendulum.py
Minor: more consistent docstring",# Fix typo in PendulumEnv docstring
385,"Fix toy_text rendering on headless machines
# Description

Fixes #3032

The pygame code did stuff with the display even in `rgb_array` mode, which makes it impossible to run it on a headless machine. The relevant code has been moved into the `if` condition.

WIP because I need to check if it actually works on colab and on a head...ful? computer, and probably address potential similar problems in other envs.",# Fix display init in cliffwalking and frozen lake
386,"[3.11] gh-106368: Increase Argument Clinic CLI test coverage (GH-107156)
Instead of hacking into the Clinic class, use the Argument Clinic tool
to run the ClinicExternalTest test suite.

(cherry picked from commit 83a2837b328c58b243f7d97bec12c64ec66681c5)

Co-authored-by: Erlend E. Aasland <erlend@python.org>
Co-authored-by: Nikita Sobolev <mail@sobolevn.me>

<!-- gh-issue-number: gh-106368 -->
* Issue: gh-106368
<!-- /gh-issue-number -->
",# bpo-42398: Add tests for clinic CLI
387,"Fixed nits with plugin choice
Changed order of plugins listed - they'll now be reverse alphabetical
Made the descriptions of plugins not mimic their names
Made more_info for standalone work the same way as manual
Made more_info strings not have missing spaces due to stripped \n formatting by adding leading spaces
",# Improve plugin descriptions
388,"Add LAPIS API
<!-- Thank you for taking the time to work on a Pull Request for this project! -->
<!-- To ensure your PR is dealt with swiftly please check the following: -->
- [x] My submission is formatted according to the guidelines in the [contributing guide](/CONTRIBUTING.md)
- [x] My addition is ordered alphabetically
- [x] My submission has a useful description
- [x] The description does not end with punctuation
- [x] Each table column is padded with one space on either side
- [x] I have searched the repository for any relevant issues or pull requests
- [x] Any category I am creating has the minimum requirement of 3 items
- [x] All changes have been [squashed][squash-link] into a single commit

[squash-link]: <https://github.com/todotxt/todo.txt-android/wiki/Squash-All-Commits-Related-to-a-Single-Issue-into-a-Single-Commit>
",# Added LAPIS API
389,"fix(dashboards): widgetQueries undefined check for stats
updates `stats` to optional",# fix: widgetQueries.tsx
390,"Fix pull manager retry
<!-- Thank you for your contribution! Please review https://github.com/ray-project/ray/blob/master/CONTRIBUTING.rst before opening a pull request. -->

<!-- Please add a reviewer to the assignee section when you create a PR. If you don't have the access to it, we will shortly find a reviewer and assign them to your PR. -->

## Why are these changes needed?

#12335 introduced a bug where the object manager's global timer was only firing once.

This PR fixes that issue by reseting the timer each time it goes off.

<!-- Please give a short summary of the change and the problem this solves. -->

## Related issue number

<!-- For example: ""Closes #1234"" -->

## Checks

- [ ] I've run `scripts/format.sh` to lint the changes in this PR.
- [ ] I've included any doc changes needed for https://docs.ray.io/en/master/.
- [ ] I've made sure the tests are passing. Note that there might be a few flaky tests, see the recent failures at https://flakey-tests.ray.io/
- Testing Strategy
   - [ ] Unit tests
   - [ ] Release tests
   - [ ] This PR is not tested :(
",# [ObjectManager] Fix pull retry timer
391,"Address #726 review comments
Addresses my review comments from #726.
",# Fix Boulder integration testsFixes #1595
392,"Convert embeds to np array
To remove the warning that appears while training",# Fix speaker embedding in SynthesizerDataset
393,"Add scheme to url_build error handler parameters
`_scheme` is passed to `url_for` but is not forwarded to error handlers if an exception is raised",# Pass _scheme to handle_build_errorFixes #2017
394,"Jinja2 repo reallocated to Pallets project
Yesterday Armin Ronacher aka mitsuhiko announced the creation of Pallets project: ""a Github organization which will be the home of Flask and all the associated projects"". 
## Vote for this pull request

Who agrees that this change should be merged could add your reactions (e.g. :+1:) to this pull request.
",# Update README.md
395,"TST: `test_highlight.py` convert to functional tests not class
- [x] add `pytest.fixture` instead of Class setup method
- [x] no test removed or added, just amended to accept new fixtures ",# TST: refactor test_highlight.py
396,"Luhn Algorithm Program in Python
I am contributing a Python program that uses the Luhn algorithm to calculate the check digit of any 10-digit number.",# Luhn Algorithm
397,"[stable-2.5] Detect the socket path after starting the service. Fixes…
… #47582

(cherry picked from commit 10e129e)

Co-authored-by: Matt Martz <matt@sivel.net>

##### ISSUE TYPE
<!--- Pick one below and delete the rest -->
- Bugfix Pull Request


##### COMPONENT NAME
mysql integration tests

##### ANSIBLE VERSION
<!--- Paste verbatim output from ""ansible --version"" between quotes -->
```paste below
2.5.x
```
",# Detect socket path
398,"Delete dynamic_programming/longest_sub_array.py
### Describe your change:

Fixes #8098. 

Deleted `longest_sub_array.py` since `longest_sub_array.py` solves a similar problem with `max_subarray_sum.py` (maximum sum of a subarray), but it has no doctests and not as completed as the latter.

* [ ] Add an algorithm?
* [ ] Fix a bug or typo in an existing algorithm?
* [ ] Documentation change?

### Checklist:
* [x] I have read [CONTRIBUTING.md](https://github.com/TheAlgorithms/Python/blob/master/CONTRIBUTING.md).
* [x] This pull request is all my own work -- I have not plagiarized.
* [x] I know that pull requests will not be merged if they fail the automated tests.
* [x] This PR only changes one algorithm file.  To ease review, please open separate PRs for separate algorithms.
* [x] All new Python files are placed inside an existing directory.
* [x] All filenames are in all lowercase characters with no spaces or dashes.
* [x] All functions and variable names follow Python naming conventions.
* [x] All function parameters and return values are annotated with Python [type hints](https://docs.python.org/3/library/typing.html).
* [x] All functions have [doctests](https://docs.python.org/3/library/doctest.html) that pass the automated testing.
* [ ] All new algorithms include at least one URL that points to Wikipedia or another similar explanation.
* [x] If this pull request resolves one or more open issues then the description above includes the issue number(s) with a [closing keyword](https://docs.github.com/en/issues/tracking-your-work-with-issues/linking-a-pull-request-to-an-issue): ""Fixes #ISSUE-NUMBER"".
",# delete longest_sub_array.py
399,"Fix typo
Fix typo in wall_clock_breakdown documentation",# Fix typo in features.md
400,"Fix hitbtc2 ohlcv
Hitbtc2 ohlcv api returns volume information different than others. Usually quote volume means the volume of the currency itself, whereas base volume means the volume of currency in base currency such as BTC.

For hitbtc2, however ([example](https://api.hitbtc.com/api/2/public/candles/EMCBTC?limit=100&period=D1))
   - volume => quote volume
   - volumeQuote => base volume

So, i've made the neccesary change to make it consistent with other exchanges.",# hitbtc2: fix volume
401,"Remove preview status from TOML inventory
##### SUMMARY
Remove preview status from TOML inventory

##### ISSUE TYPE
- Feature Pull Request

##### COMPONENT NAME
lib/ansible/plugins/inventory/toml.py

##### ADDITIONAL INFORMATION
<!--- Include additional information to help people understand the change here -->
<!--- A step-by-step reproduction of the problem is helpful if there is no related issue -->

<!--- Paste verbatim command output below, e.g. before and after your change -->
```paste below

```
",# [stable-2.9] tomal: remove preview warning (stable-2.9)##### SUMMARYtomal: remove preview warning##### ISSUE TYPE- Bugfix Pull Request##### COMPONENT NAMEtoml plugin##### ANSIBLE VERSION```ansible 2.9.0  config file = /etc/ansible/ansible.cfg  configured module search path = Default w/o overrides```##### ADDITIONAL INFORMATION``````
402,"Add more patterns to sudo.py
These patterns cover commands like
`reboot`
or
`dpkg-reconfigure something`
",# Add more sudo error messages
403,"Add `git_merge_unrelated` rule for `git merge --allow-unrelated-histories`
From https://git-scm.com/docs/merge-options#merge-options---allow-unrelated-histories

> By default, `git merge` command refuses to merge histories that do not
share a common ancestor. This option can be used to override this safety
when merging histories of two projects that started their lives
independently.",# Add git_merge_unrelated rule
